movie_title,character_name,cornell_character,actor_name,cast_order,actor_id
10 things i hate about you,Patrick Verona,PATRICK,Heath Ledger,0,1810
10 things i hate about you,Cameron James,CAMERON,Joseph Gordon-Levitt,2,24045
10 things i hate about you,Bianca Stratford,BIANCA,Larisa Oleynik,3,40978
10 things i hate about you,Michael Eckman,MICHAEL,David Krumholtz,4,38582
10 things i hate about you,Joey Donner,JOEY,Andrew Keegan,5,40979
10 things i hate about you,Mandella,MANDELLA,Susan May Pratt,6,40980
10 things i hate about you,Chastity,CHASTITY,Gabrielle Union,7,17773
10 things i hate about you,Walter Stratford,WALTER,Larry Miller,8,1211
1492: conquest of paradise,Christopher Columbus,COLUMBUS,Gérard Depardieu,0,16927
1492: conquest of paradise,Sanchez,SANCHEZ,Armand Assante,1,23346
1492: conquest of paradise,Older Fernando,FERNANDO,Loren Dean,3,11628
1492: conquest of paradise,Beatrix,BEATRIX,Ángela Molina,4,3822
1492: conquest of paradise,Marchena,MARCHENA,Fernando Rey,5,14821
1492: conquest of paradise,Adrian de Moxica,MOXICA,Michael Wincott,6,7486
1492: conquest of paradise,Captain Mendez,MENDEZ,Kevin Dunn,7,14721
1492: conquest of paradise,Martín Alonso Pinzón,ALONSO,Tchéky Karyo,8,10698
1492: conquest of paradise,Bobadilla,BOBADILLA,Mark Margolis,10,1173
15 minutes,Eddie Flemming,EDDIE,Robert De Niro,0,380
15 minutes,Jordy Warsaw,JORDY,Edward Burns,1,12833
15 minutes,Robert Hawkins,HAWKINS,Kelsey Grammer,2,7090
15 minutes,Leon Jackson,LEON,Avery Brooks,3,822
15 minutes,Nicolette Karas,NICOLETTE,Melina Kanakaredes,4,25972
15 minutes,Emil Slovak,EMIL,Karel Roden,5,10841
15 minutes,Oleg Razgul,OLEG,Oleg Taktarov,6,77351
15 minutes,Daphne Handlova,DAPHNE,Vera Farmiga,7,21657
15 minutes,Bobby Korfin,KORFIN,John DiResta,8,141484
15 minutes,Captain Duffy,DUFFY,James Handy,9,51551
15 minutes,Tommy Cullen,TOMMY,Darius McCrary,10,66145
15 minutes,Bruce Cutler,CUTLER,Bruce Cutler,11,1353429
15 minutes,Rose Hearn,ROSE,Charlize Theron,12,6885
15 minutes,Mugger,MUGGER,David Alan Grier,14,58563
15 minutes,Milos,MILOS,Vladimir Mashkov,15,86151
15 minutes,Honey,HONEY,Noelle Evans,17,1188584
15 minutes,Maggie,MAGGIE,Mindy Marin,18,6044
